,Survived,Age,Parch,Fare,FamilySize,IsAlone_1,Pclass_2,Pclass_3,Sex_male,Deck_DE,Deck_FG,Deck_U,Embarked_Q,Embarked_S
0,0,22.0,0,7.25,2,False,False,True,True,False,False,True,False,True
1,1,38.0,0,71.2833,2,False,False,False,False,False,False,False,False,False
2,1,26.0,0,7.925,1,True,False,True,False,False,False,True,False,True
3,1,35.0,0,53.1,2,False,False,False,False,False,False,False,False,True
4,0,35.0,0,8.05,1,True,False,True,True,False,False,True,False,True
5,0,29.69911764705882,0,8.4583,1,True,False,True,True,False,False,True,True,False
6,0,54.0,0,51.8625,1,True,False,False,True,True,False,False,False,True
7,0,2.0,1,21.075,5,False,False,True,True,False,False,True,False,True
8,1,27.0,2,11.1333,3,False,False,True,False,False,False,True,False,True
9,1,14.0,0,30.0708,2,False,True,False,False,False,False,True,False,False
10,1,4.0,1,16.7,3,False,False,True,False,False,True,False,False,True
11,1,58.0,0,26.55,1,True,False,False,False,False,False,False,False,True
12,0,20.0,0,8.05,1,True,False,True,True,False,False,True,False,True
13,0,39.0,5,31.275,7,False,False,True,True,False,False,True,False,True
14,0,14.0,0,7.8542,1,True,False,True,False,False,False,True,False,True
15,1,55.0,0,16.0,1,True,True,False,False,False,False,True,False,True
16,0,2.0,1,29.125,6,False,False,True,True,False,False,True,True,False
17,1,29.69911764705882,0,13.0,1,True,True,False,True,False,False,True,False,True
18,0,31.0,0,18.0,2,False,False,True,False,False,False,True,False,True
19,1,29.69911764705882,0,7.225,1,True,False,True,False,False,False,True,False,False
20,0,35.0,0,26.0,1,True,True,False,True,False,False,True,False,True
21,1,34.0,0,13.0,1,True,True,False,True,True,False,False,False,True
22,1,15.0,0,8.0292,1,True,False,True,False,False,False,True,True,False
23,1,28.0,0,35.5,1,True,False,False,True,False,False,False,False,True
24,0,8.0,1,21.075,5,False,False,True,False,False,False,True,False,True
25,1,38.0,5,31.3875,7,False,False,True,False,False,False,True,False,True
26,0,29.69911764705882,0,7.225,1,True,False,True,True,False,False,True,False,False
27,0,19.0,2,263.0,6,False,False,False,True,False,False,False,False,True
28,1,29.69911764705882,0,7.8792,1,True,False,True,False,False,False,True,True,False
29,0,29.69911764705882,0,7.8958,1,True,False,True,True,False,False,True,False,True
30,0,40.0,0,27.7208,1,True,False,False,True,False,False,True,False,False
31,1,29.69911764705882,0,146.5208,2,False,False,False,False,False,False,False,False,False
32,1,29.69911764705882,0,7.75,1,True,False,True,False,False,False,True,True,False
33,0,66.0,0,10.5,1,True,True,False,True,False,False,True,False,True
34,0,28.0,0,82.1708,2,False,False,False,True,False,False,True,False,False
35,0,42.0,0,52.0,2,False,False,False,True,False,False,True,False,True
36,1,29.69911764705882,0,7.2292,1,True,False,True,True,False,False,True,False,False
37,0,21.0,0,8.05,1,True,False,True,True,False,False,True,False,True
38,0,18.0,0,18.0,3,False,False,True,False,False,False,True,False,True
39,1,14.0,0,11.2417,2,False,False,True,False,False,False,True,False,False
40,0,40.0,0,9.475,2,False,False,True,False,False,False,True,False,True
41,0,27.0,0,21.0,2,False,True,False,False,False,False,True,False,True
42,0,29.69911764705882,0,7.8958,1,True,False,True,True,False,False,True,False,False
43,1,3.0,2,41.5792,4,False,True,False,False,False,False,True,False,False
44,1,19.0,0,7.8792,1,True,False,True,False,False,False,True,True,False
45,0,29.69911764705882,0,8.05,1,True,False,True,True,False,False,True,False,True
46,0,29.69911764705882,0,15.5,2,False,False,True,True,False,False,True,True,False
47,1,29.69911764705882,0,7.75,1,True,False,True,False,False,False,True,True,False
48,0,29.69911764705882,0,21.6792,3,False,False,True,True,False,False,True,False,False
49,0,18.0,0,17.8,2,False,False,True,False,False,False,True,False,True
50,0,7.0,1,39.6875,6,False,False,True,True,False,False,True,False,True
51,0,21.0,0,7.8,1,True,False,True,True,False,False,True,False,True
52,1,49.0,0,76.7292,2,False,False,False,False,True,False,False,False,False
53,1,29.0,0,26.0,2,False,True,False,False,False,False,True,False,True
54,0,65.0,1,61.9792,2,False,False,False,True,False,False,False,False,False
55,1,29.69911764705882,0,35.5,1,True,False,False,True,False,False,False,False,True
56,1,21.0,0,10.5,1,True,True,False,False,False,False,True,False,True
57,0,28.5,0,7.2292,1,True,False,True,True,False,False,True,False,False
58,1,5.0,2,27.75,4,False,True,False,False,False,False,True,False,True
59,0,11.0,2,46.9,8,False,False,True,True,False,False,True,False,True
60,0,22.0,0,7.2292,1,True,False,True,True,False,False,True,False,False
61,1,38.0,0,80.0,1,True,False,False,False,False,False,False,False,False
62,0,45.0,0,83.475,2,False,False,False,True,False,False,False,False,True
63,0,4.0,2,27.9,6,False,False,True,True,False,False,True,False,True
64,0,29.69911764705882,0,27.7208,1,True,False,False,True,False,False,True,False,False
65,1,29.69911764705882,1,15.2458,3,False,False,True,True,False,False,True,False,False
66,1,29.0,0,10.5,1,True,True,False,False,False,True,False,False,True
67,0,19.0,0,8.1583,1,True,False,True,True,False,False,True,False,True
68,1,17.0,2,7.925,7,False,False,True,False,False,False,True,False,True
69,0,26.0,0,8.6625,3,False,False,True,True,False,False,True,False,True
70,0,32.0,0,10.5,1,True,True,False,True,False,False,True,False,True
71,0,16.0,2,46.9,8,False,False,True,False,False,False,True,False,True
72,0,21.0,0,73.5,1,True,True,False,True,False,False,True,False,True
73,0,26.0,0,14.4542,2,False,False,True,True,False,False,True,False,False
74,1,32.0,0,56.4958,1,True,False,True,True,False,False,True,False,True
75,0,25.0,0,7.65,1,True,False,True,True,False,True,False,False,True
76,0,29.69911764705882,0,7.8958,1,True,False,True,True,False,False,True,False,True
77,0,29.69911764705882,0,8.05,1,True,False,True,True,False,False,True,False,True
78,1,0.83,2,29.0,3,False,True,False,True,False,False,True,False,True
79,1,30.0,0,12.475,1,True,False,True,False,False,False,True,False,True
80,0,22.0,0,9.0,1,True,False,True,True,False,False,True,False,True
81,1,29.0,0,9.5,1,True,False,True,True,False,False,True,False,True
82,1,29.69911764705882,0,7.7875,1,True,False,True,False,False,False,True,True,False
83,0,28.0,0,47.1,1,True,False,False,True,False,False,True,False,True
84,1,17.0,0,10.5,1,True,True,False,False,False,False,True,False,True
85,1,33.0,0,15.85,4,False,False,True,False,False,False,True,False,True
86,0,16.0,3,34.375,5,False,False,True,True,False,False,True,False,True
87,0,29.69911764705882,0,8.05,1,True,False,True,True,False,False,True,False,True
88,1,23.0,2,263.0,6,False,False,False,False,False,False,False,False,True
89,0,24.0,0,8.05,1,True,False,True,True,False,False,True,False,True
90,0,29.0,0,8.05,1,True,False,True,True,False,False,True,False,True
91,0,20.0,0,7.8542,1,True,False,True,True,False,False,True,False,True
92,0,46.0,0,61.175,2,False,False,False,True,True,False,False,False,True
93,0,26.0,2,20.575,4,False,False,True,True,False,False,True,False,True
94,0,59.0,0,7.25,1,True,False,True,True,False,False,True,False,True
95,0,29.69911764705882,0,8.05,1,True,False,True,True,False,False,True,False,True
96,0,71.0,0,34.6542,1,True,False,False,True,False,False,False,False,False
97,1,23.0,1,63.3583,2,False,False,False,True,True,False,False,False,False
98,1,34.0,1,23.0,2,False,True,False,False,False,False,True,False,True
99,0,34.0,0,26.0,2,False,True,False,True,False,False,True,False,True
100,0,28.0,0,7.8958,1,True,False,True,False,False,False,True,False,True
101,0,29.69911764705882,0,7.8958,1,True,False,True,True,False,False,True,False,True
102,0,21.0,1,77.2875,2,False,False,False,True,True,False,False,False,True
103,0,33.0,0,8.6542,1,True,False,True,True,False,False,True,False,True
104,0,37.0,0,7.925,3,False,False,True,True,False,False,True,False,True
105,0,28.0,0,7.8958,1,True,False,True,True,False,False,True,False,True
106,1,21.0,0,7.65,1,True,False,True,False,False,False,True,False,True
107,1,29.69911764705882,0,7.775,1,True,False,True,True,False,False,True,False,True
108,0,38.0,0,7.8958,1,True,False,True,True,False,False,True,False,True
109,1,29.69911764705882,0,24.15,2,False,False,True,False,False,False,True,True,False
110,0,47.0,0,52.0,1,True,False,False,True,False,False,False,False,True
111,0,14.5,0,14.4542,2,False,False,True,False,False,False,True,False,False
112,0,22.0,0,8.05,1,True,False,True,True,False,False,True,False,True
113,0,20.0,0,9.825,2,False,False,True,False,False,False,True,False,True
114,0,17.0,0,14.4583,1,True,False,True,False,False,False,True,False,False
115,0,21.0,0,7.925,1,True,False,True,True,False,False,True,False,True
116,0,70.5,0,7.75,1,True,False,True,True,False,False,True,True,False
117,0,29.0,0,21.0,2,False,True,False,True,False,False,True,False,True
118,0,24.0,1,247.5208,2,False,False,False,True,False,False,False,False,False
119,0,2.0,2,31.275,7,False,False,True,False,False,False,True,False,True
120,0,21.0,0,73.5,3,False,True,False,True,False,False,True,False,True
121,0,29.69911764705882,0,8.05,1,True,False,True,True,False,False,True,False,True
122,0,32.5,0,30.0708,2,False,True,False,True,False,False,True,False,False
123,1,32.5,0,13.0,1,True,True,False,False,True,False,False,False,True
124,0,54.0,1,77.2875,2,False,False,False,True,True,False,False,False,True
125,1,12.0,0,11.2417,2,False,False,True,True,False,False,True,False,False
126,0,29.69911764705882,0,7.75,1,True,False,True,True,False,False,True,True,False
127,1,24.0,0,7.1417,1,True,False,True,True,False,False,True,False,True
128,1,29.69911764705882,1,22.3583,3,False,False,True,False,False,True,False,False,False
129,0,45.0,0,6.975,1,True,False,True,True,False,False,True,False,True
130,0,33.0,0,7.8958,1,True,False,True,True,False,False,True,False,False
131,0,20.0,0,7.05,1,True,False,True,True,False,False,True,False,True
132,0,47.0,0,14.5,2,False,False,True,False,False,False,True,False,True
133,1,29.0,0,26.0,2,False,True,False,False,False,False,True,False,True
134,0,25.0,0,13.0,1,True,True,False,True,False,False,True,False,True
135,0,23.0,0,15.0458,1,True,True,False,True,False,False,True,False,False
136,1,19.0,2,26.2833,3,False,False,False,False,True,False,False,False,True
137,0,37.0,0,53.1,2,False,False,False,True,False,False,False,False,True
138,0,16.0,0,9.2167,1,True,False,True,True,False,False,True,False,True
139,0,24.0,0,79.2,1,True,False,False,True,False,False,False,False,False
140,0,29.69911764705882,2,15.2458,3,False,False,True,False,False,False,True,False,False
141,1,22.0,0,7.75,1,True,False,True,False,False,False,True,False,True
142,1,24.0,0,15.85,2,False,False,True,False,False,False,True,False,True
143,0,19.0,0,6.75,1,True,False,True,True,False,False,True,True,False
144,0,18.0,0,11.5,1,True,True,False,True,False,False,True,False,True
145,0,19.0,1,36.75,3,False,True,False,True,False,False,True,False,True
146,1,27.0,0,7.7958,1,True,False,True,True,False,False,True,False,True
147,0,9.0,2,34.375,5,False,False,True,False,False,False,True,False,True
148,0,36.5,2,26.0,3,False,True,False,True,False,True,False,False,True
149,0,42.0,0,13.0,1,True,True,False,True,False,False,True,False,True
150,0,51.0,0,12.525,1,True,True,False,True,False,False,True,False,True
151,1,22.0,0,66.6,2,False,False,False,False,False,False,False,False,True
152,0,55.5,0,8.05,1,True,False,True,True,False,False,True,False,True
153,0,40.5,2,14.5,3,False,False,True,True,False,False,True,False,True
154,0,29.69911764705882,0,7.3125,1,True,False,True,True,False,False,True,False,True
155,0,51.0,1,61.3792,2,False,False,False,True,False,False,True,False,False
156,1,16.0,0,7.7333,1,True,False,True,False,False,False,True,True,False
157,0,30.0,0,8.05,1,True,False,True,True,False,False,True,False,True
158,0,29.69911764705882,0,8.6625,1,True,False,True,True,False,False,True,False,True
159,0,29.69911764705882,2,69.55,11,False,False,True,True,False,False,True,False,True
160,0,44.0,1,16.1,2,False,False,True,True,False,False,True,False,True
161,1,40.0,0,15.75,1,True,True,False,False,False,False,True,False,True
162,0,26.0,0,7.775,1,True,False,True,True,False,False,True,False,True
163,0,17.0,0,8.6625,1,True,False,True,True,False,False,True,False,True
164,0,1.0,1,39.6875,6,False,False,True,True,False,False,True,False,True
165,1,9.0,2,20.525,3,False,False,True,True,False,False,True,False,True
166,1,29.69911764705882,1,55.0,2,False,False,False,False,True,False,False,False,True
167,0,45.0,4,27.9,6,False,False,True,False,False,False,True,False,True
168,0,29.69911764705882,0,25.925,1,True,False,False,True,False,False,True,False,True
169,0,28.0,0,56.4958,1,True,False,True,True,False,False,True,False,True
170,0,61.0,0,33.5,1,True,False,False,True,False,False,False,False,True
171,0,4.0,1,29.125,6,False,False,True,True,False,False,True,True,False
172,1,1.0,1,11.1333,3,False,False,True,False,False,False,True,False,True
173,0,21.0,0,7.925,1,True,False,True,True,False,False,True,False,True
174,0,56.0,0,30.6958,1,True,False,False,True,False,False,False,False,False
175,0,18.0,1,7.8542,3,False,False,True,True,False,False,True,False,True
176,0,29.69911764705882,1,25.4667,5,False,False,True,True,False,False,True,False,True
177,0,50.0,0,28.7125,1,True,False,False,False,False,False,False,False,False
178,0,30.0,0,13.0,1,True,True,False,True,False,False,True,False,True
179,0,36.0,0,32.204207968574636,1,True,False,True,True,False,False,True,False,True
180,0,29.69911764705882,2,69.55,11,False,False,True,False,False,False,True,False,True
181,0,29.69911764705882,0,15.05,1,True,True,False,True,False,False,True,False,False
182,0,9.0,2,31.3875,7,False,False,True,True,False,False,True,False,True
183,1,1.0,1,39.0,4,False,True,False,True,False,True,False,False,True
184,1,4.0,2,22.025,3,False,False,True,False,False,False,True,False,True
185,0,29.69911764705882,0,50.0,1,True,False,False,True,False,False,False,False,True
186,1,29.69911764705882,0,15.5,2,False,False,True,False,False,False,True,True,False
187,1,45.0,0,26.55,1,True,False,False,True,False,False,True,False,True
188,0,40.0,1,15.5,3,False,False,True,True,False,False,True,True,False
189,0,36.0,0,7.8958,1,True,False,True,True,False,False,True,False,True
190,1,32.0,0,13.0,1,True,True,False,False,False,False,True,False,True
191,0,19.0,0,13.0,1,True,True,False,True,False,False,True,False,True
192,1,19.0,0,7.8542,2,False,False,True,False,False,False,True,False,True
193,1,3.0,1,26.0,3,False,True,False,True,False,True,False,False,True
194,1,44.0,0,27.7208,1,True,False,False,False,False,False,False,False,False
195,1,58.0,0,146.5208,1,True,False,False,False,False,False,False,False,False
196,0,29.69911764705882,0,7.75,1,True,False,True,True,False,False,True,True,False
197,0,42.0,1,8.4042,2,False,False,True,True,False,False,True,False,True
198,1,29.69911764705882,0,7.75,1,True,False,True,False,False,False,True,True,False
199,0,24.0,0,13.0,1,True,True,False,False,False,False,True,False,True
200,0,28.0,0,9.5,1,True,False,True,True,False,False,True,False,True
201,0,29.69911764705882,2,69.55,11,False,False,True,True,False,False,True,False,True
202,0,34.0,0,6.4958,1,True,False,True,True,False,False,True,False,True
203,0,45.5,0,7.225,1,True,False,True,True,False,False,True,False,False
204,1,18.0,0,8.05,1,True,False,True,True,False,False,True,False,True
205,0,2.0,1,10.4625,2,False,False,True,False,False,True,False,False,True
206,0,32.0,0,15.85,2,False,False,True,True,False,False,True,False,True
207,1,26.0,0,18.7875,1,True,False,True,True,False,False,True,False,False
208,1,16.0,0,7.75,1,True,False,True,False,False,False,True,True,False
209,1,40.0,0,31.0,1,True,False,False,True,False,False,False,False,False
210,0,24.0,0,7.05,1,True,False,True,True,False,False,True,False,True
211,1,35.0,0,21.0,1,True,True,False,False,False,False,True,False,True
212,0,22.0,0,7.25,1,True,False,True,True,False,False,True,False,True
213,0,30.0,0,13.0,1,True,True,False,True,False,False,True,False,True
214,0,29.69911764705882,0,7.75,2,False,False,True,True,False,False,True,True,False
215,1,31.0,0,113.275,2,False,False,False,False,True,False,False,False,False
216,1,27.0,0,7.925,1,True,False,True,False,False,False,True,False,True
217,0,42.0,0,27.0,2,False,True,False,True,False,False,True,False,True
218,1,32.0,0,76.2917,1,True,False,False,False,True,False,False,False,False
219,0,30.0,0,10.5,1,True,True,False,True,False,False,True,False,True
220,1,16.0,0,8.05,1,True,False,True,True,False,False,True,False,True
221,0,27.0,0,13.0,1,True,True,False,True,False,False,True,False,True
222,0,51.0,0,8.05,1,True,False,True,True,False,False,True,False,True
223,0,29.69911764705882,0,7.8958,1,True,False,True,True,False,False,True,False,True
224,1,38.0,0,90.0,2,False,False,False,True,False,False,False,False,True
225,0,22.0,0,9.35,1,True,False,True,True,False,False,True,False,True
226,1,19.0,0,10.5,1,True,True,False,True,False,False,True,False,True
227,0,20.5,0,7.25,1,True,False,True,True,False,False,True,False,True
228,0,18.0,0,13.0,1,True,True,False,True,False,False,True,False,True
229,0,29.69911764705882,1,25.4667,5,False,False,True,False,False,False,True,False,True
230,1,35.0,0,83.475,2,False,False,False,False,False,False,False,False,True
231,0,29.0,0,7.775,1,True,False,True,True,False,False,True,False,True
232,0,59.0,0,13.5,1,True,True,False,True,False,False,True,False,True
233,1,5.0,2,31.3875,7,False,False,True,False,False,False,True,False,True
234,0,24.0,0,10.5,1,True,True,False,True,False,False,True,False,True
235,0,29.69911764705882,0,7.55,1,True,False,True,False,False,False,True,False,True
236,0,44.0,0,26.0,2,False,True,False,True,False,False,True,False,True
237,1,8.0,2,26.25,3,False,True,False,False,False,False,True,False,True
238,0,19.0,0,10.5,1,True,True,False,True,False,False,True,False,True
239,0,33.0,0,12.275,1,True,True,False,True,False,False,True,False,True
240,0,29.69911764705882,0,14.4542,2,False,False,True,False,False,False,True,False,False
241,1,29.69911764705882,0,15.5,2,False,False,True,False,False,False,True,True,False
242,0,29.0,0,10.5,1,True,True,False,True,False,False,True,False,True
243,0,22.0,0,7.125,1,True,False,True,True,False,False,True,False,True
244,0,30.0,0,7.225,1,True,False,True,True,False,False,True,False,False
245,0,44.0,0,90.0,3,False,False,False,True,False,False,False,True,False
246,0,25.0,0,7.775,1,True,False,True,False,False,False,True,False,True
247,1,24.0,2,14.5,3,False,True,False,False,False,False,True,False,True
248,1,37.0,1,52.5542,3,False,False,False,True,True,False,False,False,True
249,0,54.0,0,26.0,2,False,True,False,True,False,False,True,False,True
250,0,29.69911764705882,0,7.25,1,True,False,True,True,False,False,True,False,True
251,0,29.0,1,10.4625,3,False,False,True,False,False,True,False,False,True
252,0,62.0,0,26.55,1,True,False,False,True,False,False,False,False,True
253,0,30.0,0,16.1,2,False,False,True,True,False,False,True,False,True
254,0,41.0,2,20.2125,3,False,False,True,False,False,False,True,False,True
255,1,29.0,2,15.2458,3,False,False,True,False,False,False,True,False,False
256,1,29.69911764705882,0,79.2,1,True,False,False,False,False,False,True,False,False
257,1,30.0,0,86.5,1,True,False,False,False,False,False,False,False,True
258,1,35.0,0,512.3292,1,True,False,False,False,False,False,True,False,False
259,1,50.0,1,26.0,2,False,True,False,False,False,False,True,False,True
260,0,29.69911764705882,0,7.75,1,True,False,True,True,False,False,True,True,False
261,1,3.0,2,31.3875,7,False,False,True,True,False,False,True,False,True
262,0,52.0,1,79.65,3,False,False,False,True,True,False,False,False,True
263,0,40.0,0,32.204207968574636,1,True,False,False,True,False,False,False,False,True
264,0,29.69911764705882,0,7.75,1,True,False,True,False,False,False,True,True,False
265,0,36.0,0,10.5,1,True,True,False,True,False,False,True,False,True
266,0,16.0,1,39.6875,6,False,False,True,True,False,False,True,False,True
267,1,25.0,0,7.775,2,False,False,True,True,False,False,True,False,True
268,1,58.0,1,153.4625,2,False,False,False,False,False,False,False,False,True
269,1,35.0,0,135.6333,1,True,False,False,False,False,False,False,False,True
270,0,29.69911764705882,0,31.0,1,True,False,False,True,False,False,True,False,True
271,1,25.0,0,32.204207968574636,1,True,False,True,True,False,False,True,False,True
272,1,41.0,1,19.5,2,False,True,False,False,False,False,True,False,True
273,0,37.0,1,29.7,2,False,False,False,True,False,False,False,False,False
274,1,29.69911764705882,0,7.75,1,True,False,True,False,False,False,True,True,False
275,1,63.0,0,77.9583,2,False,False,False,False,True,False,False,False,True
276,0,45.0,0,7.75,1,True,False,True,False,False,False,True,False,True
277,0,29.69911764705882,0,32.204207968574636,1,True,True,False,True,False,False,True,False,True
278,0,7.0,1,29.125,6,False,False,True,True,False,False,True,True,False
279,1,35.0,1,20.25,3,False,False,True,False,False,False,True,False,True
280,0,65.0,0,7.75,1,True,False,True,True,False,False,True,True,False
281,0,28.0,0,7.8542,1,True,False,True,True,False,False,True,False,True
282,0,16.0,0,9.5,1,True,False,True,True,False,False,True,False,True
283,1,19.0,0,8.05,1,True,False,True,True,False,False,True,False,True
284,0,29.69911764705882,0,26.0,1,True,False,False,True,False,False,False,False,True
285,0,33.0,0,8.6625,1,True,False,True,True,False,False,True,False,False
286,1,30.0,0,9.5,1,True,False,True,True,False,False,True,False,True
287,0,22.0,0,7.8958,1,True,False,True,True,False,False,True,False,True
288,1,42.0,0,13.0,1,True,True,False,True,False,False,True,False,True
289,1,22.0,0,7.75,1,True,False,True,False,False,False,True,True,False
290,1,26.0,0,78.85,1,True,False,False,False,False,False,True,False,True
291,1,19.0,0,91.0792,2,False,False,False,False,False,False,False,False,False
292,0,36.0,0,12.875,1,True,True,False,True,True,False,False,False,False
293,0,24.0,0,8.85,1,True,False,True,False,False,False,True,False,True
294,0,24.0,0,7.8958,1,True,False,True,True,False,False,True,False,True
295,0,29.69911764705882,0,27.7208,1,True,False,False,True,False,False,True,False,False
296,0,23.5,0,7.2292,1,True,False,True,True,False,False,True,False,False
